Region,State,AirportID,City,Airport_Name,S/L,Hub,Year,Boardings,PCT_Rise
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2015,147137,0.14
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2014,128515,-0.09
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2013,140886,-0.05
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2012,147794,1.07
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2011,71316,0.18
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2010,60682,-0.03
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2009,62592,-0.04
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2008,65351,1.52
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2007,25947,-0.61
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2006,66731,1.57
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2015,320544,0.07
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2014,298306,-0.01
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2013,301969,-0.14
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2012,350066,-0.18
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2011,428332,0.03
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2010,414427,0.1
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2009,376091,-0.04
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2008,392039,-0.08
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2007,426687,0.07
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2006,397603,-0.05
SW,TX,ABI,Abilene,Abilene Regional,P,N,2015,86000,-0.08
SW,TX,ABI,Abilene,Abilene Regional,P,N,2014,93656,0.13
SW,TX,ABI,Abilene,Abilene Regional,P,N,2013,82758,0.11
SW,TX,ABI,Abilene,Abilene Regional,P,N,2012,74523,-0.07
SW,TX,ABI,Abilene,Abilene Regional,P,N,2011,80434,0.09
SW,TX,ABI,Abilene,Abilene Regional,P,N,2010,73605,-0.09
SW,TX,ABI,Abilene,Abilene Regional,P,N,2009,81172,-0.07
SW,TX,ABI,Abilene,Abilene Regional,P,N,2008,87682,-0.03
SW,TX,ABI,Abilene,Abilene Regional,P,N,2007,90369,-0.01
SW,TX,ABI,Abilene,Abilene Regional,P,N,2006,90918,0.16
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2015,2323883,-0.01
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2014,2354184,-0.05
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2013,2477783,-0.06
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2012,2630574,-0.05
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2011,2768435,-0.02
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2010,2828420,-0.02
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2009,2881798,-0.09
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2008,3158971,-0.02
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2007,3239096,0.02
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2006,3176299,0
GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,2015,27595,0.04
GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,2014,26497,0.04
